accuracy,loss,val_accuracy,val_loss,learning_rate
0.1726636290550232,1.9381181001663208,0.25271663069725037,1.950568675994873,0.0010000000474974513
0.19328433275222778,1.9009287357330322,0.1819448322057724,1.9551647901535034,0.0010000000474974513
0.21254658699035645,1.8290482759475708,0.1763722449541092,1.937480092048645,0.0010000000474974513
0.23943710327148438,1.7937572002410889,0.2658122181892395,1.7805007696151733,0.0010000000474974513
0.26995018124580383,1.7647051811218262,0.33240458369255066,1.6091651916503906,0.0010000000474974513
0.3121320903301239,1.7258756160736084,0.41432154178619385,1.5151777267456055,0.0010000000474974513
0.3295830488204956,1.6820173263549805,0.438562273979187,1.4252495765686035,0.0010000000474974513
0.348740816116333,1.6511260271072388,0.3315686881542206,1.88863205909729,0.0010000000474974513
0.36758506298065186,1.612436056137085,0.4667038023471832,1.352882742881775,0.0010000000474974513
0.38388657569885254,1.5865111351013184,0.44329896569252014,1.4148292541503906,0.0010000000474974513
0.38503605127334595,1.5630087852478027,0.4315965473651886,1.4614976644515991,0.0010000000474974513
0.398272305727005,1.540055751800537,0.4366118609905243,1.4924370050430298,0.0010000000474974513
0.4010937213897705,1.5286880731582642,0.4591808319091797,1.443286418914795,0.0010000000474974513
0.41318053007125854,1.5097163915634155,0.4257453382015228,1.4654974937438965,0.0010000000474974513
0.43104949593544006,1.4705615043640137,0.4895513951778412,1.3099777698516846,0.0005000000237487257
0.42805391550064087,1.4621648788452148,0.49818891286849976,1.308341145515442,0.0005000000237487257
0.4411160349845886,1.4351873397827148,0.4859292209148407,1.3353633880615234,0.0005000000237487257
0.4433104693889618,1.4427294731140137,0.4831429421901703,1.3326795101165771,0.0005000000237487257
0.4496499300003052,1.4180296659469604,0.5062691569328308,1.268381953239441,0.0005000000237487257
0.45041623711586,1.4107942581176758,0.5020897388458252,1.258226752281189,0.0005000000237487257
0.45358598232269287,1.4069844484329224,0.4895513951778412,1.276774287223816,0.0005000000237487257
0.4583580195903778,1.3931009769439697,0.49623849987983704,1.2431827783584595,0.0005000000237487257
0.4596816301345825,1.3884615898132324,0.4993034303188324,1.2733947038650513,0.0005000000237487257
0.46027377247810364,1.3889684677124023,0.5151852965354919,1.246018409729004,0.0005000000237487257
0.46556827425956726,1.3711284399032593,0.49679577350616455,1.2774499654769897,0.0005000000237487257
